SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BENSAFRIM (31E/02UG),,BENSAFRIM (31E/02UG),,BOALHOSA (03G/05UG),,BOALHOSA (03G/05UG),,BOLEIROS (16F/03U),,BOLEIROS (16F/03U),,BOLETA (CARAPINHEIRA) (12F/03UG),,BOLETA (CARAPINHEIRA) (12F/03UG),,BORNES (05O/01UG),,BORNES (05O/01UG),,BOTICAS (03L/03G),,BOTICAS (03L/03G),,BOUÇA DA MÓ (03I/02U),,BOUÇA DA MÓ (03I/02U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
23/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
27/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
28/07/1985 09:00,0,(vco),,,14.5,(vco),,,,,,,0,(vco),,,0,(vco),,,1.6,(vco),,,,,,,
29/07/1985 09:00,0,(vco),,,8.4,(vco),,,,,,,3.5,(vco),,,7.9,(vco),,,8.5,(vco),,,,,,,
30/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
31/07/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
01/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
03/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
04/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
05/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
06/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
07/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
11/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
12/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
13/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
14/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
16/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
17/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
19/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
27/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
28/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
29/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
30/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
31/08/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
01/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
03/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
04/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
05/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
06/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
07/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,3.1,(vco),,,0,(vco),,,,,,,
09/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,5,(vco),,,0,(vco),,,,,,,
11/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
12/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
13/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,2.2,(vco),,,,,,,
14/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
16/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
17/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
19/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
27/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
28/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
29/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
30/09/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
01/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,1.2,(vco),,,0,(vco),,,,,,,
02/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
03/10/1985 09:00,0,(vco),,,9.5,(vco),,,,,,,4.5,(vco),,,0.1,(vco),,,4.2,(vco),,,,,,,
04/10/1985 09:00,1,(vco),,,5.3,(vco),,,,,,,5.5,(vco),,,0.8,(vco),,,6.9,(vco),,,,,,,
05/10/1985 09:00,0,(vco),,,4.5,(vco),,,,,,,0,(vco),,,0,(vco),,,0.1,(vco),,,,,,,
06/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
07/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
11/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
12/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
13/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
14/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
16/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
17/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
19/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
27/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
28/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
29/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
30/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
31/10/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0.3,(vco),,,,,,,
01/11/1985 09:00,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/11/1985 09:00,1.2,(vco),,,20.5,(vco),,,,,,,3.6,(vco),,,3.1,(vco),,,3.8,(vco),,,,,,,
03/11/1985 09:00,0,(vco),,,25.9,(vco),,,,,,,0,(vco),,,7.5,(vco),,,5.5,(vco),,,,,,,
04/11/1985 09:00,9,(vco),,,29.3,(vco),,,,,,,33.5,(vco),,,21,(vco),,,49.2,(vco),,,,,,,
05/11/1985 09:00,1.5,(vco),,,24.8,(vco),,,,,,,8,(vco),,,24,(vco),,,29.3,(vco),,,,,,,
