SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SARZEDO (07L/13U),,SARZEDO (07L/13U),,SEDA (19K/01UG),,SEDA (19K/01UG),,SEIA (11K/01UG),,SEIA (11K/01UG),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEIXAS (EX. PORTUZELO) (03H/04G),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SEJÃES (OLIVEIRA DE FRADES) (09H/02UG),,SENDAS (04P/03UG),,SENDAS (04P/03UG),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,SENHORA GRAÇA DOS PADRÕES (28J/04U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
05/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
06/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
07/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
08/07/1985 09:00,0,(vco),,,0,(vco),,,0.6,(vco),,,,,,,,,,,,,,,,,,,
09/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
10/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
11/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
12/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
13/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
14/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
15/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
16/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
17/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
18/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
19/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
20/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,,,,,,,,,,,,,
