SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
28/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
29/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
30/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
31/08/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
01/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
02/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
03/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
04/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
05/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
06/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
07/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
08/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
09/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
10/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
11/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
12/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
13/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
14/09/1985 09:00,,,1.5,(vco),,,,,,,0,(vco),,,,,
15/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/09/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
