SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,SÃO VICENTE DE CHÃ (03K/03UG),,SÃO VICENTE DE CHÃ (03K/03UG),,TABUAÇO (07L/09G),,TABUAÇO (07L/09G),,TAIPAS (05G/04UG),,TAIPAS (05G/04UG),,TAMANHOS (09N/01UG),,TAMANHOS (09N/01UG),,TAMEL (04F/02UG),,TAMEL (04F/02UG),,TAROUCA (07K/08U),,TAROUCA (07K/08U),,TAVEIRO (12G/03U),,TAVEIRO (12G/03U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
13/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0.7,(vco),,,
14/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
17/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
18/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
19/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
24/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,21.5,(vco),,,0,(vco),,,
26/11/1985 09:00,,,,,,,,,,,,,3.1,(vco),,,,,,,4.5,(vco),,,17.2,(vco),,,
27/11/1985 09:00,,,,,,,,,,,,,2.7,(vco),,,,,,,0,(vco),,,0.7,(vco),,,
28/11/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
29/11/1985 09:00,,,,,,,,,,,,,0.4,(vco),,,,,,,0,(vco),,,0,(vco),,,
30/11/1985 09:00,,,,,,,,,,,,,0.6,(vco),,,,,,,4.5,(vco),,,3.2,(vco),,,
01/12/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
02/12/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
03/12/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
04/12/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,25.5,(vco),,,0,(vco),,,
05/12/1985 09:00,,,,,,,,,,,,,18.7,(vco),,,,,,,9.5,(vco),,,19.7,(vco),,,
06/12/1985 09:00,,,,,,,,,,,,,8.1,(vco),,,,,,,0,(vco),,,2.8,(vco),,,
07/12/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,8.5,(vco),,,0,(vco),,,
08/12/1985 09:00,,,,,,,,,,,,,8.1,(vco),,,,,,,2.5,(vco),,,21.4,(vco),,,
09/12/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,0,(vco),,,1.2,(vco),,,
10/12/1985 09:00,,,,,,,,,,,,,0,(vco),,,,,,,3.2,(vco),,,0.8,(vco),,,
