SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PONTE SABOR (06O/02UG),,PONTE SABOR (06O/02UG),,PONTE SÔR (18I/02U),,PONTE SÔR (18I/02U),,PONTÉVEL (19E/03UG),,PONTÉVEL (19E/03UG),,PORCHES (31G/02UG),,PORCHES (31G/02UG),,PORRAIS (05Q/05G),,PORRAIS (05Q/05G),,PORTA COVA (02G/02U),,PORTA COVA (02G/02U),,PORTEL (24K/01UG),,PORTEL (24K/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
13/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,6.4,(vco),,,
14/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
15/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
16/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
17/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
18/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
19/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
20/09/1985 09:00,,,,,,,,,1.2,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
21/09/1985 09:00,,,,,,,,,0.3,(vco),,,0,(vco),,,,,,,,,,,6.4,(vco),,,
22/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
23/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
24/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
25/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
26/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
27/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
28/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
29/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
30/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
01/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
02/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
03/10/1985 09:00,,,,,,,,,0.8,(vco),,,0,(vco),,,,,,,,,,,0,(vco),,,
