SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,PORTELA DO HOMEM (03I/01G),,PORTELA DO HOMEM (03I/01G),,PORTELA DO VADE (03G/03UG),,PORTELA DO VADE (03G/03UG),,PORTELINHA (01H/02G),,PORTELINHA (01H/02G),,PORTO CARRO (16D/02U),,PORTO CARRO (16D/02U),,PORTO CHÃO (02H/06U),,PORTO CHÃO (02H/06U),,PORTO DE MÓS (16E/03UG),,PORTO DE MÓS (16E/03UG),,POÇO DE BOLIQUEIME (31I/03U),,POÇO DE BOLIQUEIME (31I/03U),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
22/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
23/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
24/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
25/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
26/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
27/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
28/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
29/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
30/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
31/10/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
01/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
02/11/1985 09:00,0.5,(vco),,,,,,,1.1,(vco),,,,,,,,,,,13.9,(vco),,,,,,,
03/11/1985 09:00,17.5,(vco),,,,,,,17.4,(vco),,,,,,,,,,,4.2,(vco),,,,,,,
04/11/1985 09:00,68,(vco),,,,,,,22,(vco),,,,,,,,,,,27.8,(vco),,,,,,,
05/11/1985 09:00,57,(vco),,,,,,,15,(vco),,,,,,,,,,,10.3,(vco),,,,,,,
06/11/1985 09:00,100,(vco),,,,,,,47,(vco),,,,,,,,,,,1.4,(vco),,,,,,,
07/11/1985 09:00,33,(vco),,,,,,,27,(vco),,,,,,,,,,,0,(vco),,,,,,,
08/11/1985 09:00,11.6,(vco),,,,,,,1,(vco),,,,,,,,,,,0,(vco),,,,,,,
09/11/1985 09:00,40,(vco),,,,,,,29.3,(vco),,,,,,,,,,,0,(vco),,,,,,,
10/11/1985 09:00,74.5,(vco),,,,,,,65.3,(vco),,,,,,,,,,,1.4,(vco),,,,,,,
11/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,15.3,(vco),,,,,,,
12/11/1985 09:00,13.8,(vco),,,,,,,12,(vco),,,,,,,,,,,36.4,(vco),,,,,,,
13/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0.3,(vco),,,,,,,
14/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
15/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
16/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
17/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
18/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
19/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
20/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
21/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
22/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0.6,(vco),,,,,,,
23/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,1.4,(vco),,,,,,,
24/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
25/11/1985 09:00,1.5,(vco),,,,,,,1.7,(vco),,,,,,,,,,,1.6,(vco),,,,,,,
26/11/1985 09:00,7.7,(vco),,,,,,,2,(vco),,,,,,,,,,,26.8,(vco),,,,,,,
27/11/1985 09:00,2.5,(vco),,,,,,,2,(vco),,,,,,,,,,,11.4,(vco),,,,,,,
28/11/1985 09:00,0,(vco),,,,,,,0,(vco),,,,,,,,,,,0,(vco),,,,,,,
29/11/1985 09:00,6.8,(vco),,,,,,,0.8,(vco),,,,,,,,,,,0,(vco),,,,,,,
30/11/1985 09:00,58,(vco),,,,,,,36.5,(vco),,,,,,,,,,,5.5,(vco),,,,,,,
01/12/1985 09:00,9.6,(vco),,,,,,,7.5,(vco),,,,,,,,,,,0,(vco),,,,,,,
02/12/1985 09:00,0,(vco),,,,,,,10,(vco),,,,,,,,,,,0,(vco),,,,,,,
03/12/1985 09:00,2.5,(vco),,,,,,,0.8,(vco),,,,,,,,,,,0,(vco),,,,,,,
04/12/1985 09:00,19.3,(vco),,,,,,,18.6,(vco),,,,,,,,,,,0,(vco),,,,,,,
05/12/1985 09:00,46,(vco),,,,,,,26.5,(vco),,,,,,,,,,,26.6,(vco),,,,,,,
