SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,BOUÇÃ (PESSEGUEIRO DO VOUGA) (09G/03UG),,BOUÇÃ (PESSEGUEIRO DO VOUGA) (09G/03UG),,BOUÇÃ DOS HOMENS (02H/01UG),,BOUÇÃ DOS HOMENS (02H/01UG),,BRANCELHE (04I/02UG),,BRANCELHE (04I/02UG),,BRITELO (02H/07UG),,BRITELO (02H/07UG),,BROTAS (20I/02UG),,BROTAS (20I/02UG),,BRUFE (BARREIROS) (09K/03UG),,BRUFE (BARREIROS) (09K/03UG),,BUSTELO (SERRA DE PIAS) (07G/01G),,BUSTELO (SERRA DE PIAS) (07G/01G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
13/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
14/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
16/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
17/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
19/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
27/07/1985 09:00,4.6,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
28/07/1985 09:00,11,(vco),,,33.5,(vco),,,2,(vco),,,2.1,(vco),,,0,(vco),,,0,(vco),,,,,,,
29/07/1985 09:00,0,(vco),,,8.4,(vco),,,13.8,(vco),,,10,(vco),,,1,(vco),,,0,(vco),,,,,,,
30/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,8.9,(vco),,,0,(vco),,,0,(vco),,,,,,,
31/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
01/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
03/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
04/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
05/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
06/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
07/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/08/1985 09:00,0,(vco),,,0.1,(vco),,,0.5,(vco),,,0.7,(vco),,,0,(vco),,,0,(vco),,,,,,,
11/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0.2,(vco),,,0,(vco),,,0,(vco),,,,,,,
12/08/1985 09:00,0,(vco),,,2,(vco),,,0,(vco),,,0.4,(vco),,,0,(vco),,,0,(vco),,,,,,,
13/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
14/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
15/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
16/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
17/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
18/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
19/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
20/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
21/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
22/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
23/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
24/08/1985 09:00,0.5,(vco),,,0,(vco),,,0,(vco),,,1.2,(vco),,,0,(vco),,,0,(vco),,,,,,,
25/08/1985 09:00,0,(vco),,,0,(vco),,,2,(vco),,,5.2,(vco),,,0,(vco),,,0,(vco),,,,,,,
26/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
27/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
28/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
29/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
30/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
31/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
01/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
02/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
03/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
04/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
05/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
06/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
07/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,1,(vco),,,0,(vco),,,0,(vco),,,,,,,
08/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
09/09/1985 09:00,0.4,(vco),,,0,(vco),,,1,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
10/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
11/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,
