SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,OTA (19D/02UG),,OTA (19D/02UG),,OUTEIRO (03J/02UG),,OUTEIRO (03J/02UG),,PADERNE (30H/05UG),,PADERNE (30H/05UG),,PADRELA (04M/01UG),,PADRELA (04M/01UG),,PALHEIROS (05M/02U),,PALHEIROS (05M/02U),,PALME (04E/03UG),,PALME (04E/03UG),,PAMPILHOSA DA SERRA (13J/03UG),,PAMPILHOSA DA SERRA (13J/03UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
10/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
15/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
16/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
17/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,2,(vco),,,0,(vco),,,
18/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
19/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
20/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
21/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
22/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
23/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
24/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
25/07/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
