SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALVORNINHA (17C/06G),,ALVORNINHA (17C/06G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
16/11/1985 09:00,0,(vco),,,
17/11/1985 09:00,0,(vco),,,
18/11/1985 09:00,0,(vco),,,
19/11/1985 09:00,0,(vco),,,
20/11/1985 09:00,0,(vco),,,
21/11/1985 09:00,0,(vco),,,
22/11/1985 09:00,0.5,(vco),,,
23/11/1985 09:00,0.2,(vco),,,
24/11/1985 09:00,0,(vco),,,
25/11/1985 09:00,6.9,(vco),,,
26/11/1985 09:00,29,(vco),,,
27/11/1985 09:00,16.6,(vco),,,
28/11/1985 09:00,0,(vco),,,
29/11/1985 09:00,0.4,(vco),,,
30/11/1985 09:00,8.9,(vco),,,
01/12/1985 09:00,0.2,(vco),,,
02/12/1985 09:00,0,(vco),,,
03/12/1985 09:00,0,(vco),,,
04/12/1985 09:00,0,(vco),,,
05/12/1985 09:00,13.5,(vco),,,
06/12/1985 09:00,1.6,(vco),,,
07/12/1985 09:00,0.2,(vco),,,
08/12/1985 09:00,10.5,(vco),,,
09/12/1985 09:00,0,(vco),,,
10/12/1985 09:00,0,(vco),,,
11/12/1985 09:00,15.4,(vco),,,
12/12/1985 09:00,0.3,(vco),,,
13/12/1985 09:00,0,(vco),,,
14/12/1985 09:00,0,(vco),,,
15/12/1985 09:00,0,(vco),,,
16/12/1985 09:00,0,(vco),,,
17/12/1985 09:00,0,(vco),,,
18/12/1985 09:00,0,(vco),,,
19/12/1985 09:00,0,(vco),,,
20/12/1985 09:00,0,(vco),,,
21/12/1985 09:00,0,(vco),,,
22/12/1985 09:00,20.5,(vco),,,
23/12/1985 09:00,1.7,(vco),,,
24/12/1985 09:00,10.9,(vco),,,
25/12/1985 09:00,8.1,(vco),,,
26/12/1985 09:00,2.4,(vco),,,
27/12/1985 09:00,17.5,(vco),,,
28/12/1985 09:00,21.8,(vco),,,
29/12/1985 09:00,0.5,(vco),,,
30/12/1985 09:00,0,(vco),,,
31/12/1985 09:00,10.1,(vco),,,
01/01/1986 09:00,1.8,(vco),,,
02/01/1986 09:00,6.4,(vco),,,
03/01/1986 09:00,12.1,(vco),,,
04/01/1986 09:00,10.2,(vco),,,
05/01/1986 09:00,7,(vco),,,
06/01/1986 09:00,2.1,(vco),,,
07/01/1986 09:00,13,(vco),,,
08/01/1986 09:00,12.3,(vco),,,
09/01/1986 09:00,5,(vco),,,
10/01/1986 09:00,0,(vco),,,
11/01/1986 09:00,0,(vco),,,
12/01/1986 09:00,0,(vco),,,
13/01/1986 09:00,0,(vco),,,
14/01/1986 09:00,0,(vco),,,
15/01/1986 09:00,0,(vco),,,
16/01/1986 09:00,0.6,(vco),,,
17/01/1986 09:00,0,(vco),,,
18/01/1986 09:00,0,(vco),,,
19/01/1986 09:00,0,(vco),,,
20/01/1986 09:00,0.2,(vco),,,
21/01/1986 09:00,0,(vco),,,
22/01/1986 09:00,2.8,(vco),,,
23/01/1986 09:00,1.9,(vco),,,
24/01/1986 09:00,0.4,(vco),,,
25/01/1986 09:00,0,(vco),,,
26/01/1986 09:00,0,(vco),,,
27/01/1986 09:00,0,(vco),,,
28/01/1986 09:00,0,(vco),,,
29/01/1986 09:00,11.6,(vco),,,
30/01/1986 09:00,12.6,(vco),,,
31/01/1986 09:00,18.5,(vco),,,
01/02/1986 09:00,6.9,(vco),,,
02/02/1986 09:00,2,(vco),,,
03/02/1986 09:00,8.3,(vco),,,
04/02/1986 09:00,13.5,(vco),,,
05/02/1986 09:00,8.5,(vco),,,
06/02/1986 09:00,8.9,(vco),,,
07/02/1986 09:00,2.6,(vco),,,
