SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,MUGE (19E/01UG),,MUGE (19E/01UG),,MURES ASSECA (TERRUGEM) (20M/04G),,MURES ASSECA (TERRUGEM) (20M/04G),,MURÇA (05M/03U),,MURÇA (05M/03U),,MÉRTOLA (28L/01UG),,MÉRTOLA (28L/01UG),,NISA (16L/03UG),,NISA (16L/03UG),,NOGUEIRA (03E/02UG),,NOGUEIRA (03E/02UG),,ODEMIRA (28F/01UG),,ODEMIRA (28F/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
30/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
31/10/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,3,(vco),,,
01/11/1985 09:00,15.5,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,
02/11/1985 09:00,18.5,(vco),,,,,,,,,,,8.2,(vco),,,16.4,(vco),,,2,(vco),,,1.5,(vco),,,
03/11/1985 09:00,9.5,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,10,(vco),,,0,(vco),,,
04/11/1985 09:00,8.5,(vco),,,,,,,,,,,6.2,(vco),,,12.6,(vco),,,55,(vco),,,1.8,(vco),,,
05/11/1985 09:00,6.4,(vco),,,,,,,,,,,4.8,(vco),,,29.3,(vco),,,30,(vco),,,19.9,(vco),,,
06/11/1985 09:00,0,(vco),,,,,,,,,,,5.2,(vco),,,3.6,(vco),,,23,(vco),,,0,(vco),,,
07/11/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,5.7,(vco),,,0,(vco),,,
08/11/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,6.8,(vco),,,0,(vco),,,
09/11/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,40,(vco),,,0,(vco),,,
10/11/1985 09:00,0,(vco),,,,,,,,,,,0,(vco),,,0,(vco),,,50.3,(vco),,,0,(vco),,,
