SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
14/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
26/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
28/07/1985 09:00,,,7.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/07/1985 09:00,,,21.3,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
31/07/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
03/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
04/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
05/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
06/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
07/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/08/1985 09:00,,,2.1,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/08/1985 09:00,,,9.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
26/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
28/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
31/08/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
03/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
04/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
05/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
06/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
07/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/09/1985 09:00,,,0.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0.2,(vco),,,,,
22/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
26/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
28/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/09/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/10/1985 09:00,,,14.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
03/10/1985 09:00,,,10.1,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
04/10/1985 09:00,,,0.4,(vco),,,,,,,,,,,,,,,3,(vco),,,,,
05/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
06/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
07/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
17/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
18/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
19/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
20/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
21/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
22/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
23/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
24/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
25/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
26/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
27/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
28/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
29/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
30/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
31/10/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
01/11/1985 09:00,,,4.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
02/11/1985 09:00,,,3.9,(vco),,,,,,,,,,,,,,,3.5,(vco),,,,,
03/11/1985 09:00,,,5.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
04/11/1985 09:00,,,29.9,(vco),,,,,,,,,,,,,,,1,(vco),,,,,
05/11/1985 09:00,,,11.4,(vco),,,,,,,,,,,,,,,28.2,(vco),,,,,
06/11/1985 09:00,,,34,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
07/11/1985 09:00,,,22.6,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/11/1985 09:00,,,7.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
09/11/1985 09:00,,,17.1,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
10/11/1985 09:00,,,47.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/11/1985 09:00,,,9.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/11/1985 09:00,,,26.4,(vco),,,,,,,,,,,,,,,2.3,(vco),,,,,
13/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/11/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
